workday,schedule_for_route_code,trip_id,route_code,route_name,route_destination,route_variant,first_stop_code,last_stop_code,start_time,stop_time,run_code,duty_code,is_halfway,vehicle_code,driver_code,trip_status,trip_last_update_time
25/03/2023,5524660,2503235524660,DR591,Jamalpur Depot - Sardarbag,Sardarbag,NORMAL,9951,1127,05:01:00,05:10:00,31S/A,31S/A-F,0,,,,
25/03/2023,5524661,2503235524661,DR594,Sardarbag - Jamalpur Depot,Jamalpura Depot,NORMAL,1075,9951,23:29:00,23:38:00,31S/A,31S/A-S,0,,,,
25/03/2023,5524662,2503235524662,DR755,Marwadi Depot - Vasna,Vasna,NORMAL,9964,3713,07:06:00,07:15:00,32/B,32/B-G,0,,,,
25/03/2023,5524663,2503235524663,DR390,Vasna - Marwadi Depot,Marwadi Depot,NORMAL,1286,9964,20:40:00,20:55:00,32/B,32/B-G,0,,,,
25/03/2023,5524664,2503235524664,DR755,Marwadi Depot - Vasna,Vasna,NORMAL,9964,3713,07:51:00,08:00:00,32/C,32/C-G,0,,,,
25/03/2023,5524665,2503235524665,DR390,Vasna - Marwadi Depot,Marwadi Depot,NORMAL,1286,9964,21:25:00,21:38:00,32/C,32/C-G,0,,,,
25/03/2023,5524666,2503235524666,DR314,Sarangpur Depot - Sarangpur,Sarangpur,NORMAL,9953,1844,05:30:00,05:45:00,33/A,33/A-F,0,,,,
25/03/2023,5524667,2503235524667,DR646,Sarangpur - Sarangpur Depot,Sarangpur Depot,NORMAL,1844,9953,21:10:00,21:14:00,33/A,33/A-S,0,,,,
25/03/2023,5524668,2503235524668,DR314,Sarangpur Depot - Sarangpur,Sarangpur,NORMAL,9953,1844,06:20:00,06:35:00,33/C,33/C-F,0,,,,
25/03/2023,5524669,2503235524669,DR646,Sarangpur - Sarangpur Depot,Sarangpur Depot,NORMAL,1844,9953,22:00:00,22:04:00,33/C,33/C-S,0,,,,
25/03/2023,5524670,2503235524670,DR314,Sarangpur Depot - Sarangpur,Sarangpur,NORMAL,9953,1844,06:55:00,07:10:00,33/D,33/D-F,0,,,,
25/03/2023,5524671,2503235524671,DR646,Sarangpur - Sarangpur Depot,Sarangpur Depot,NORMAL,1844,9953,22:50:00,22:54:00,33/D,33/D-S,0,,,,
