schedule_code,schedule_for_route_code,route_code,route_name,route_destination,route_variant,first_stop_code,last_stop_code,start_time,stop_time,run_code,duty_code,is_halfway,shift_type
160/F,5389112,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,10:35:00,12:20:00,160/F,160/F-F,0,First Shift
160/F,5389113,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,12:20:00,14:00:00,160/F,160/F-F,0,First Shift
160/F,5389114,160-D,Silver Oak University - Hatkeshwar Depo,Hatkeshwar Depo,NORMAL,9230,2393,14:35:00,16:15:00,160/F,160/F-F,0,First Shift
160/F,5389115,160-U,Hatkeshwar Depo - Silver Oak University,Silver Oak University,NORMAL,2312,9229,16:30:00,18:15:00,160/F,160/F-S,0,Second Shift 
64/B,5389116,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,8:10:00,9:05:00,64/B,64/B-G,0,General Shift
64/C,5389117,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,8:50:00,9:40:00,64/C,64/C-G,0,General Shift
64/D,5389118,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,9:35:00,10:30:00,64/D,64/D-G,0,General Shift
64/B,5389119,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,10:00:00,10:55:00,64/B,64/B-G,0,General Shift
64/A,5389120,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,11:10:00,12:00:00,64/A,64/A-G,0,General Shift
64/D,5389121,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,11:25:00,12:20:00,64/D,64/D-G,0,General Shift
64/B,5389122,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,11:50:00,12:40:00,64/B,64/B-G,0,General Shift
64/D,5389123,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,13:10:00,14:10:00,64/D,64/D-G,0,General Shift
64/A,5389124,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,12:50:00,13:40:00,64/A,64/A-G,0,General Shift
64/B,5389125,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,13:30:00,14:20:00,64/B,64/B-G,0,General Shift
64/C,5389126,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,14:10:00,15:05:00,64/C,64/C-G,0,General Shift
64/A,5389127,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,15:35:00,16:45:00,64/A,64/A-G,0,General Shift
64/B,5389128,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,16:20:00,17:30:00,64/B,64/B-G,0,General Shift
64/C,5389129,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,17:00:00,18:10:00,64/C,64/C-G,0,General Shift
64/D,5389130,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,18:10:00,19:20:00,64/D,64/D-G,0,General Shift
